timestamp,sensor_id,vibration_hz,temp_celsius,pressure_kpa,voltage,status_flag
2026-03-01 10:00:00,SNSR-01,50.2,65.4,101.3,220.1,NORMAL
2026-03-01 10:01:00,SNSR-01,50.5,65.8,101.4,220.3,NORMAL
2026-03-01 10:02:00,SNSR-01,49.8,65.2,101.2,219.9,NORMAL
2026-03-01 10:03:00,SNSR-01,50.1,65.5,101.3,220.0,NORMAL
2026-03-01 10:04:00,SNSR-01,51.0,66.1,101.5,220.2,NORMAL
2026-03-01 10:05:00,SNSR-01,89.4,98.7,145.8,185.2,ANOMALY
2026-03-01 10:06:00,SNSR-01,92.1,102.3,150.2,180.1,ANOMALY
2026-03-01 10:07:00,SNSR-01,50.4,66.0,101.4,220.1,NORMAL
2026-03-01 10:08:00,SNSR-01,49.9,65.7,101.3,220.0,NORMAL
2026-03-01 10:09:00,SNSR-01,50.2,65.3,101.1,219.8,NORMAL
2026-03-01 10:10:00,SNSR-01,50.0,65.6,101.4,220.2,NORMAL
2026-03-01 10:11:00,SNSR-01,50.3,65.5,101.2,220.1,NORMAL
2026-03-01 10:12:00,SNSR-01,95.6,105.8,158.4,178.5,ANOMALY
2026-03-01 10:13:00,SNSR-01,50.1,65.9,101.3,220.2,NORMAL
2026-03-01 10:14:00,SNSR-01,49.7,65.1,101.2,219.9,NORMAL
